id,name,normalized_name,gender,gender_is_inferred
1210,Flanders' Inner Child,flanders inner child,unknown,True
1211,Homer's Inner Child,homers inner child,unknown,True
1212,Moe's Inner Child,moes inner child,unknown,True
1213,Women In Crowd,women in crowd,unknown,True
1214,Old Folks,old folks,unknown,True
1215,MR. KRABAPPEL,mr krabappel,unknown,True
1216,James Brown,james brown,unknown,True
1217,Carpenter,carpenter,unknown,True
1218,Dorky Teenager,dorky teenager,unknown,True
1219,MCGARNIGAL,mcgarnigal,unknown,True
1220,Atari Andre Gregory,atari andre gregory,unknown,True
1221,Manuel Noriega,manuel noriega,unknown,True
1222,Arcade Manager,arcade manager,unknown,True
1223,Wise Old Hobo,wise old hobo,unknown,True
1224,Triple Milhouse,triple milhouse,unknown,True
1225,Dorky Kid,dorky kid,unknown,True
1226,Pudgy Boy,pudgy boy,unknown,True
1227,Fathers,fathers,unknown,True
1228,Ernest Borgnine,ernest borgnine,unknown,True
1229,Dolphins,dolphins,unknown,True
1230,Arab Men,arab men,unknown,True
1231,Agent #1,agent 1,unknown,True
1232,Zutroy,zutroy,unknown,True
1233,Agent #2,agent 2,unknown,True
1234,Optometrist,optometrist,unknown,True
1235,Dermatologist,dermatologist,unknown,True
1236,Podiatrist,podiatrist,unknown,True
1237,Internist,internist,unknown,True
1238,Jerry Lewis Bart,jerry lewis bart,unknown,True
1239,Cherub Lenny,cherub lenny,unknown,True
1240,Cherub Carl,cherub carl,unknown,True
1241,Fish,fish,unknown,True
1242,Sexy Woman Announcer,sexy woman announcer,unknown,True
1243,Jeeves,jeeves,unknown,True
1244,WHITE HOUSE AIDE,white house aide,unknown,True
1245,Turban Kid,turban kid,unknown,True
1246,Fat Kid,fat kid,unknown,True
1247,Nerds,nerds,unknown,True
1248,Big Hand Man,big hand man,unknown,True
1249,Bellhop,bellhop,unknown,True
1250,Passerby #1,passerby 1,unknown,True
1251,Passerby #2,passerby 2,unknown,True
1252,Chinese Waiter #1,chinese waiter 1,unknown,True
1253,Chinese Waiter #2,chinese waiter 2,unknown,True
1254,Newsreel Announcer,newsreel announcer,unknown,True
1255,Amos Guy,amos guy,unknown,True
1256,Young Jasper,young jasper,unknown,True
1257,Panhandler,panhandler,unknown,True
1258,Angry Voice From Stall,angry voice from stall,unknown,True
1259,Henry Kissinger,henry kissinger,unknown,True
1260,HENRY KISSINGER'S BRAIN,henry kissingers brain,unknown,True
1261,Little Burns,little burns,unknown,True
1262,British Guy,british guy,unknown,True
1263,British Waitress,british waitress,unknown,True
1264,Hippie,hippie,unknown,True
1265,Gerry Cooney,gerry cooney,unknown,True
1266,Blackjack Players,blackjack players,unknown,True
1267,BIG TEXAN,big texan,unknown,True
1268,Ernst,ernst,unknown,True
1269,Gunter,gunter,unknown,True
1270,Teenage Attendant,teenage attendant,unknown,True
1271,Someone,someone,unknown,True
1272,Rain Man,rain man,unknown,True
1273,Gambler,gambler,unknown,True
1274,CRAP PLAYERS,crap players,unknown,True
1275,Farmboy,farmboy,unknown,True
1276,Slot Player #1,slot player 1,unknown,True
1277,Slot Player #2,slot player 2,unknown,True
1278,GOODMAN,goodman,male,False
1279,RUTH,ruth,female,False
1280,Mindy,mindy,female,False
1281,Edward,edward,male,False
1282,Accountant,accountant,male,False
1283,Audience Member,audience member,unknown,True
1284,Robert Goulet,robert goulet,unknown,True
1285,Wheelman,wheelman,unknown,True
1286,Wheel Players,wheel players,unknown,True
1287,Craps Players,craps players,unknown,True
1288,Molloy,molloy,unknown,True
1289,Voice From The Back,voice from the back,unknown,True
1290,IRISH PETE,irish pete,unknown,True
1291,Beatnik Poet,beatnik poet,unknown,True
1292,Twelve-year-old,twelve-year-old,unknown,True
1293,Cat Burglar,cat burglar,unknown,True
1294,Box Executive,box executive,unknown,True
1295,Organ Grinder,organ grinder,unknown,True
1296,Crowd Member,crowd member,unknown,True
1297,2nd Crowd Member,2nd crowd member,unknown,True
1298,Mrs. Quimby,mrs quimby,unknown,True
1299,Fireman,fireman,unknown,True
1300,'Hammer',hammer,unknown,True
1301,CONAN,conan,unknown,True
1302,Kitty,kitty,unknown,True
1303,Customer #1,customer 1,unknown,True
1304,Customer #2,customer 2,unknown,True
1305,Dog,dog,unknown,True
1306,Bum #1,bum 1,unknown,True
1307,Comedian,comedian,unknown,True
1308,Stockboy,stockboy,unknown,True
1309,Christians,christians,unknown,True
1310,Robed Indian,robed indian,unknown,True
1311,Aged Man,aged man,unknown,True
1312,ROBBER,robber,unknown,True
1313,Old Ladies,old ladies,unknown,True
1314,Onlookers,onlookers,unknown,True
1315,Girl #2,girl 2,unknown,True
1316,Hip Old Man,hip old man,unknown,True
1317,Buzz Announcer,buzz announcer,unknown,True
1318,Malibu Stacy,malibu stacy,unknown,True
1319,Goofy Girl,goofy girl,unknown,True
1320,Goofy Girl's Stacy,goofy girls stacy,unknown,True
1321,Recorded Voice,recorded voice,unknown,True
1322,Claire Harper,claire harper,unknown,True
1323,Ugly Man,ugly man,unknown,True
1324,Leroy,leroy,unknown,True
1325,Angry Customer,angry customer,unknown,True
1326,Young Man,young man,unknown,True
1327,Stacy Lovell,stacy lovell,unknown,True
1328,GI JOE,gi joe,unknown,True
1329,Doll,doll,unknown,True
1330,Grim C.E.O.,grim ceo,unknown,True
1331,Brockman's Daughter,brockmans daughter,unknown,True
1332,Executives,executives,unknown,True
1333,Old Lady Customer,old lady customer,unknown,True
1334,Old People,old people,unknown,True
1335,GIRL#2,girl2,unknown,True
1336,Crowd Noise,crowd noise,unknown,True
1337,Nasa Announcer #1,nasa announcer 1,unknown,True
1338,Nasa Announcer #2,nasa announcer 2,unknown,True
1339,Dr. Babcock,dr babcock,unknown,True
1340,Chimp,chimp,unknown,True
1341,Female Scientist,female scientist,unknown,True
1342,TIM ALLEN-TYPE,tim allen-type,unknown,True
1343,Peg,peg,unknown,True
1344,Nerdy Scientist,nerdy scientist,unknown,True
1345,Jim Wallace,jim wallace,unknown,True
1346,Toby Hunter,toby hunter,unknown,True
1347,BUZZ,buzz,unknown,True
1348,Mission Control,mission control,unknown,True
1349,Race,race,unknown,True
1350,Everybody,everybody,unknown,True
1351,Ants,ants,unknown,True
1352,Ant #1,ant 1,unknown,True
1353,Ant #2,ant 2,unknown,True
1354,Ant #3,ant 3,unknown,True
1355,Ant #4,ant 4,unknown,True
1356,James Taylor,james taylor,unknown,True
1357,RERPORTER #4,rerporter 4,unknown,True
1358,Star Child Homer,star child homer,unknown,True
1359,First Guy In Line,first guy in line,unknown,True
1360,Eddie Money,eddie money,unknown,True
1361,Jeremiah,jeremiah,unknown,True
1362,Priest,priest,unknown,True
1363,Rappin' Ronnie,rappin ronnie,unknown,True
1364,Voice #1,voice 1,unknown,True
1365,Voice #2,voice 2,unknown,True
1366,Voice #3,voice 3,unknown,True
1367,Voice #4,voice 4,unknown,True
1368,Congregation,congregation,unknown,True
1369,Ernie Ford,ernie ford,unknown,True
1370,Carter,carter,unknown,True
1371,Gomer,gomer,unknown,True
1372,Saxophone,saxophone,unknown,True
1373,Mr. Clean-style Character,mr clean-style character,unknown,True
1374,Goofy Recording,goofy recording,unknown,True
1375,Station Owner,station owner,unknown,True
1376,Dj3000,dj3000,unknown,True
1377,Arboretum Guy,arboretum guy,unknown,True
1378,Small Kid,small kid,unknown,True
1379,MEDIUM-SIZED KID,medium-sized kid,unknown,True
1380,Kid's Mother,kids mother,unknown,True
1381,Grizzled Guy,grizzled guy,unknown,True
1382,Wildlife Man,wildlife man,unknown,True
1383,Ivory Dealer,ivory dealer,unknown,True
1384,Speaker Box,speaker box,unknown,True
1385,GAME SHOW MAN,game show man,unknown,True
1386,Bill Clinton,bill clinton,male,False
1387,James Woods,james woods,male,False
1388,Jessica,jessica,female,False
1389,STILLWATER,stillwater,male,False
1390,Technician,technician,male,False
1391,Baby Burns,baby burns,unknown,True
1392,Teenage Burns,teenage burns,unknown,True
1393,Greenpeace Hippie #1,greenpeace hippie 1,unknown,True
1394,Greenpeace Hippie #2,greenpeace hippie 2,unknown,True
1395,Lee Majors,lee majors,unknown,True
1396,Street Urchin,street urchin,unknown,True
1397,Elf,elf,unknown,True
1398,Deprogrammer,deprogrammer,unknown,True
1399,'Marge',marge,unknown,True
1400,'Lisa',lisa,unknown,True
1401,Homer Actor,homer actor,unknown,True
1402,Marge Actress,marge actress,unknown,True
1403,Lisa Actress,lisa actress,unknown,True
1404,Baby Bart,baby bart,unknown,True
1405,Class,class,unknown,True
1406,Leopold,leopold,unknown,True
1407,Hayseed #1,hayseed 1,unknown,True
1408,Hayseed #2,hayseed 2,unknown,True
1409,Flanders's Beatnik Dad,flanderss beatnik dad,unknown,True
1410,Private,private,unknown,True
1411,Rowdy Soldier,rowdy soldier,unknown,True
1412,Huck,huck,unknown,True
1413,Freddy,freddy,unknown,True
1414,Lincoln Hobo,lincoln hobo,unknown,True
1415,Various Quimbys,various quimbys,unknown,True
1416,French Waiter,french waiter,unknown,True
1417,Quimby's Lawyer,quimbys lawyer,unknown,True
1418,Lunchlady Bart,lunchlady bart,unknown,True
1419,JIMBO JR.,jimbo jr,unknown,True
1420,Jurors,jurors,unknown,True
1421,Monkeys,monkeys,unknown,True
1422,Grampa's Brain,grampas brain,unknown,True
1423,Generation X Guy,generation x guy,unknown,True
1424,Nelson Apparition,nelson apparition,unknown,True
1425,Voice Inside Cake,voice inside cake,unknown,True
1426,Kaiser Wilhelm Guy,kaiser wilhelm guy,unknown,True
1427,Administrator,administrator,unknown,True
1428,SQUEAKY-VOICED TEENAGER,squeaky-voiced teenager,unknown,True
1429,Smithers's Wife,smitherss wife,unknown,True
1430,Carl's Wife,carls wife,unknown,True
1431,Snowball II,snowball ii,unknown,True
1432,Musician,musician,unknown,True
1433,Another Man,another man,unknown,True
1434,Amish Man,amish man,unknown,True
1435,Mob Of Teenagers,mob of teenagers,unknown,True
1436,Last Teenager,last teenager,unknown,True
1437,A Dozen Little Girls,a dozen little girls,unknown,True
1438,George,george,unknown,True
1439,STEWART CHARACTER,stewart character,unknown,True
1440,RAVI,ravi,unknown,True
1441,English Boy,english boy,unknown,True
1442,Police Dept. Machine,police dept machine,unknown,True
1443,Jimmy Stewart Character,jimmy stewart character,unknown,True
1444,Swashbuckler,swashbuckler,unknown,True
1445,Fbi #1,fbi 1,unknown,True
1446,Fbi #2,fbi 2,unknown,True
1447,Professor Taylor,professor taylor,unknown,True
1448,Englishman,englishman,unknown,True
1449,Beekeeper #1,beekeeper 1,unknown,True
1450,Beekeeper #2,beekeeper 2,unknown,True
1451,Üter,üter,unknown,True
1452,Sherry,sherry,unknown,True
1453,Various Kids,various kids,unknown,True
1454,Radio Preacher,radio preacher,unknown,True
1455,2nd Radio Preacher,2nd radio preacher,unknown,True
1456,3rd Radio Preacher,3rd radio preacher,unknown,True
1457,Engineer,engineer,unknown,True
1458,Waiter #1,waiter 1,unknown,True
1459,Childcare Worker,childcare worker,unknown,True
1460,Little Kid,little kid,unknown,True
1461,Mother #1,mother 1,unknown,True
1462,Childcare Supervisor,childcare supervisor,unknown,True
1463,Pinitchio,pinitchio,unknown,True
1464,Technician #3,technician 3,unknown,True
1465,Loud Speaker,loud speaker,unknown,True
1466,Technician #4,technician 4,unknown,True
1467,French Ticket Taker,french ticket taker,unknown,True
1468,Jingle Singers,jingle singers,unknown,True
1469,Chinese Principal #1,chinese principal 1,unknown,True
1470,Chinese Principal #2,chinese principal 2,unknown,True
1471,Dr. Demento,dr demento,unknown,True
1472,DR. DEMEMTO,dr dememto,unknown,True
1473,Protesters,protesters,unknown,True
1474,Others,others,unknown,True
1475,Big Moose,big moose,unknown,True
1476,Scary Announcer,scary announcer,unknown,True
1477,Kindergarten Teacher,kindergarten teacher,unknown,True
1478,FRED FLINTSTONE,fred flintstone,unknown,True
1479,Shadowy Figure,shadowy figure,unknown,True
1480,Spectators,spectators,unknown,True
1481,Prisoner #1,prisoner 1,unknown,True
1482,Prisoner #2,prisoner 2,unknown,True
1483,GROUNDSKEEPER WILLIE'S BRAIN,groundskeeper willies brain,unknown,True
1484,Chorus,chorus,unknown,True
1485,Mr. Peabody,mr peabody,unknown,True
1486,Sherman,sherman,unknown,True
1487,Sloth,sloth,unknown,True
1488,Kid Behind Glass,kid behind glass,unknown,True
1489,Jewish Man,jewish man,unknown,True
1490,Luigi,luigi,male,False
1491,Old Jewish Man,old jewish man,male,False
1492,Birch Barlow,birch barlow,male,False
1493,Auctioneer,auctioneer,male,False
1494,Allison,allison,female,False
1495,Trucker #1,trucker 1,unknown,True
1496,Trucker #2,trucker 2,unknown,True
1497,Library Boy,library boy,unknown,True
1498,Various Congregation Members,various congregation members,unknown,True
1499,Car,car,unknown,True
1500,Car #3,car 3,unknown,True
1501,News Announcer,news announcer,unknown,True
1502,Weatherman,weatherman,unknown,True
1503,Gym Teacher,gym teacher,unknown,True
1504,Female Coach,female coach,unknown,True
1505,Justice,justice,unknown,True
1506,Running Man,running man,unknown,True
1507,Hockey Announcer,hockey announcer,unknown,True
1508,Ashley,ashley,unknown,True
1509,Pa,pa,unknown,True
1510,German Gummy Salesman,german gummy salesman,unknown,True
1511,Heavy Woman,heavy woman,unknown,True
1512,Deep Voice,deep voice,unknown,True
1513,Godfrey,godfrey,unknown,True
1514,ROCK BOTTOM ANNOUNCER,rock bottom announcer,unknown,True
1515,Crying Woman,crying woman,unknown,True
1516,Female Host,female host,unknown,True
1517,Ben Announcer,ben announcer,unknown,True
1518,Trainer,trainer,unknown,True
1519,Fox Announcer,fox announcer,unknown,True
1520,Young Babysitter,young babysitter,unknown,True
1521,Dennis Franz,dennis franz,unknown,True
1522,Aussie Reporter,aussie reporter,unknown,True
1523,David Letterman,david letterman,unknown,True
1524,Standup,standup,unknown,True
1525,Teenage Manager,teenage manager,unknown,True
1526,Bike Rider,bike rider,unknown,True
1527,Uncle Doobie,uncle doobie,unknown,True
1528,GOODTIME SLIM,goodtime slim,unknown,True
1529,Colonel Leslie Hapablap,colonel leslie hapablap,unknown,True
1530,Vice President Gore,vice president gore,unknown,True
1531,Kool & the Gang,kool the gang,unknown,True
1532,Desk Clerk,desk clerk,unknown,True
1533,Goony-looking Man,goony-looking man,unknown,True
1534,Cows,cows,unknown,True
1535,John F. Kennedy,john f kennedy,unknown,True
1536,Onlooker,onlooker,unknown,True
1537,Carla,carla,unknown,True
1538,Sam,sam,unknown,True
1539,Norm,norm,unknown,True
1540,Woody,woody,unknown,True
1541,Cliff,cliff,unknown,True
1542,Runway Signaler,runway signaler,unknown,True
1543,Alan,alan,unknown,True
1544,Stewardess,stewardess,unknown,True
1545,Additional Man,additional man,unknown,True
1546,Gramma Bouvier,gramma bouvier,unknown,True
1547,Plumber,plumber,unknown,True
1548,7-Year-Old Homer,7-year-old homer,unknown,True
1549,7-YEAR-OLD-HOMER,7-year-old-homer,unknown,True
1550,Homer Glumpet,homer glumpet,unknown,True
1551,Last Signer,last signer,unknown,True
1552,Innkeeper,innkeeper,unknown,True
1553,Stonecutters,stonecutters,unknown,True
1554,School Kids,school kids,unknown,True
1555,Kid #3,kid 3,unknown,True
1556,Redenbacher,redenbacher,unknown,True
1557,NICHOLSON,nicholson,unknown,True
1558,Mr. T,mr t,unknown,True
1559,BUSH,bush,unknown,True
1560,Knightboat's Partner,knightboats partner,unknown,True
1561,Knightboat,knightboat,unknown,True
1562,Villain,villain,unknown,True
1563,Sperm #1,sperm 1,unknown,True
1564,Sperm #2,sperm 2,unknown,True
1565,'SPERM #3,#4,unknown,True
1566,Sperm #40012,sperm 40012,unknown,True
1567,Customers,customers,unknown,True
1568,Various Patrons,various patrons,unknown,True
1569,Pilot #2,pilot 2,unknown,True
1570,Female Astronomer,female astronomer,unknown,True
1571,Ham,ham,unknown,True
1572,Database,database,unknown,True
1573,E-Mail,e-mail,unknown,True
1574,Report Card,report card,unknown,True
1575,SUPERFRIENDS,superfriends,unknown,True
1576,Male Astronomer,male astronomer,unknown,True
1577,Panicked Man,panicked man,unknown,True
1578,Congressman #1,congressman 1,unknown,True
1579,Congressman #2,congressman 2,unknown,True
1580,Congress,congress,unknown,True
1581,Johnny Unitas,johnny unitas,unknown,True
1582,Angelique,angelique,unknown,True
1583,Transport Driver,transport driver,unknown,True
1584,Georgian,georgian,unknown,True
1585,Texan,texan,unknown,True
1586,2nd Texan,2nd texan,unknown,True
1587,Russian,russian,unknown,True
1588,New Englander,new englander,unknown,True
1589,Kid In Crowd,kid in crowd,unknown,True
1590,Krusty Burglar,krusty burglar,unknown,True
1591,Dick Cavett,dick cavett,unknown,True
1592,Plastic Surgeon,plastic surgeon,unknown,True
1593,Don Vitorio,don vitorio,unknown,True
1594,Gangsters,gangsters,unknown,True
1595,Second Scientist,second scientist,unknown,True
1596,Translator,translator,unknown,True
1597,Dictator,dictator,unknown,True
1598,Elderly Nazi,elderly nazi,unknown,True
1599,Gus,gus,unknown,True
1600,Prime Minister,prime minister,unknown,True
1601,Number One,number one,male,False
1602,Shiva,shiva,unknown,True
1603,Bullfrog,bullfrog,unknown,True
1604,Sentry,sentry,unknown,True
1605,Ambassador,ambassador,unknown,True
1606,Australian,australian,unknown,True
1607,All Legislators,all legislators,unknown,True
1608,Bullfrogs,bullfrogs,unknown,True
1609,Australians,australians,unknown,True
1610,Bart's Fist,barts fist,unknown,True
1611,Lender,lender,unknown,True
1612,Ballet Teacher,ballet teacher,unknown,True
1613,Mel Brooks,mel brooks,unknown,True
1614,Head Rabbi,head rabbi,unknown,True
1615,Back-up Rabbis,back-up rabbis,unknown,True
1616,Man In Background,man in background,unknown,True
1617,Japanese Man,japanese man,unknown,True
1618,Japanese Woman,japanese woman,unknown,True
1619,Person,person,unknown,True
1620,'Charles Bronson',charles bronson,unknown,True
1621,Man In Audience,man in audience,unknown,True
1622,New York Pilot,new york pilot,unknown,True
1623,Spielbergo,spielbergo,unknown,True
1624,Jay's Stomach,jays stomach,unknown,True
1625,Actor #1,actor 1,unknown,True
1626,Actor #3,actor 3,unknown,True
1627,Villagers,villagers,unknown,True
1628,BEN HUR,ben hur,unknown,True
1629,EUDORA WELTY,eudora welty,unknown,True
1630,Fortune Teller,fortune teller,unknown,True
1631,FORTUNE-TELLER,fortune-teller,unknown,True
1632,Student In Jeans,student in jeans,unknown,True
1633,Moustached Man,moustached man,unknown,True
1634,Mrs. Parkfield,mrs parkfield,unknown,True
1635,Mr. Parkfield,mr parkfield,unknown,True
1636,Eldred,eldred,unknown,True
1637,Other Player,other player,unknown,True
1638,Adult Nelson,adult nelson,unknown,True
1639,NELSON JR.,nelson jr,unknown,True
1640,Aged Krusty,aged krusty,unknown,True
1641,Cable Announcer,cable announcer,unknown,True
1642,Pet Store Man,pet store man,unknown,True
1643,DRILL SGT.,drill sgt,unknown,True
1644,Irs Agent,irs agent,unknown,True
1645,Fat Cheeked Housekeeper,fat cheeked housekeeper,unknown,True
1646,Ticket Lady,ticket lady,unknown,True
1647,Shelbyville Principal,shelbyville principal,unknown,True
1648,Enemy Soldier #1,enemy soldier 1,unknown,True
1649,Enemy Soldier #2,enemy soldier 2,unknown,True
1650,Soldier #3,soldier 3,unknown,True
1651,Soldier #4,soldier 4,unknown,True
1652,Ring Girl,ring girl,unknown,True
1653,Tape Recorder,tape recorder,unknown,True
1654,Tutor,tutor,unknown,True
1655,Onlooker #1,onlooker 1,unknown,True
1656,Opponent #1,opponent 1,unknown,True
1657,Opponent #2,opponent 2,unknown,True
1658,Opponent #3,opponent 3,unknown,True
1659,Parents,parents,unknown,True
1660,Tiny Student,tiny student,unknown,True
1661,All Students,all students,unknown,True
1662,Old Jazz Musician,old jazz musician,unknown,True
1663,Store Clerk,store clerk,unknown,True
1664,Rudi,rudi,unknown,True
1665,Bart Butterfly,bart butterfly,unknown,True
1666,Lion's Head,lions head,unknown,True
1667,Darth,darth,unknown,True
1668,Black Man,black man,unknown,True
1669,Shill,shill,unknown,True
1670,News Vendor,news vendor,unknown,True
1671,Psychotic Guy,psychotic guy,unknown,True
1672,Hairdresser,hairdresser,unknown,True
1673,Players,players,unknown,True
1674,Sinister Man,sinister man,unknown,True
1675,Henchman,henchman,unknown,True
1676,1st Tourist,1st tourist,unknown,True
1677,2nd Tourist,2nd tourist,unknown,True
1678,Outfielder,outfielder,unknown,True
1679,Shelby,shelby,unknown,True
1680,Backpack Kid,backpack kid,unknown,True
1681,Shelbyville Kids,shelbyville kids,unknown,True
1682,Springfield,springfield,unknown,True
1683,Shelbyville,shelbyville,unknown,True
1684,Tough Kid,tough kid,unknown,True
1685,Dads,dads,unknown,True
1686,Bigger Kid,bigger kid,unknown,True
1687,1st Kid,1st kid,unknown,True
1688,2nd Kid,2nd kid,unknown,True
1689,Gas Station Attendant,gas station attendant,unknown,True
1690,Second Customer,second customer,unknown,True
1691,Shelbyvillers,shelbyvillers,unknown,True
1692,Groundskeeper Wilma,groundskeeper wilma,unknown,True
1693,Tow Truck Man,tow truck man,unknown,True
1694,Shelbyville Grampa,shelbyville grampa,unknown,True
1695,Prendergast,prendergast,unknown,True
1696,Guillermo,guillermo,unknown,True
1697,Tito Puente,tito puente,unknown,True
1698,High School Student,high school student,unknown,True
1699,Roughneck,roughneck,unknown,True
1700,Veterinarian,veterinarian,unknown,True
1701,Nelson's Parrot,nelsons parrot,unknown,True
1702,All Teachers,all teachers,unknown,True
1703,Male Inspector,male inspector,unknown,True
1704,Female Inspector,female inspector,unknown,True
1705,Other Old People,other old people,unknown,True
1706,Imaginary Burns #1,imaginary burns 1,unknown,True
1707,Imaginary Burns #2,imaginary burns 2,unknown,True
1708,Imaginary Burns #3,imaginary burns 3,unknown,True
1709,Ten Imaginary Burnses,ten imaginary burnses,unknown,True
1710,Elderly Guard,elderly guard,unknown,True
1711,Smithers's Brain,smitherss brain,unknown,True
1712,SUPER-VILLAIN,super-villain,unknown,True
1713,Teenage Employee,teenage employee,unknown,True
1714,Pigeon,pigeon,unknown,True
1715,Police Dispatcher,police dispatcher,unknown,True
1716,Old Board Member,old board member,unknown,True
1717,Scoutmaster,scoutmaster,unknown,True
1718,Different Announcers,different announcers,unknown,True
1719,Casting Lady,casting lady,unknown,True
1720,Teamster,teamster,unknown,True
1721,Dialogue Coach,dialogue coach,unknown,True
1722,Movie Prop Guy,movie prop guy,unknown,True
1723,Estonian Dwarf,estonian dwarf,unknown,True
1724,Prop Guy,prop guy,unknown,True
1725,Editor,editor,unknown,True
1726,Spirograph Man,spirograph man,unknown,True
1727,Mickey Rooney,mickey rooney,unknown,True
1728,Helicopter Pilot,helicopter pilot,unknown,True
1729,SHALLOW-LOOKING HOLLYWOODITE,shallow-looking hollywoodite,unknown,True
1730,Bentley Salesman,bentley salesman,unknown,True
1731,Head Lice,head lice,unknown,True
1732,Bully Girls,bully girls,unknown,True
1733,Old Mafia Guy,old mafia guy,unknown,True
1734,Officer Noble,officer noble,unknown,True
1735,FROM SPEAKER,from speaker,unknown,True
1736,Father In Burlap Sack,father in burlap sack,unknown,True
1737,Crow,crow,unknown,True
1738,Pre-Teen Hibbert Kid,pre-teen hibbert kid,unknown,True
1739,Little Hibbert Girl,little hibbert girl,unknown,True
1740,Teenage Hibbert Boy,teenage hibbert boy,unknown,True
1741,Barney-Shaped Form,barney-shaped form,unknown,True
1742,Jinglers,jinglers,unknown,True
1743,SHERRI/TERRI/THEIR SOULS,sherriterritheir souls,unknown,True
1744,NELSON/HIS SOUL,nelsonhis soul,unknown,True
1745,MARTIN'S SOUL,martins soul,unknown,True
1746,Unctuous Waiter,unctuous waiter,unknown,True
1747,Figure,figure,unknown,True
1748,SHERRI/TERRI,sherriterri,unknown,True
1749,VERY CUTE LITTLE GIRL,very cute little girl,unknown,True
1750,Raving Derelict,raving derelict,unknown,True
1751,Nana Van Houten,nana van houten,unknown,True
1752,Wolf,wolf,unknown,True
1753,Pigs,pigs,unknown,True
1754,Papa Bear,papa bear,unknown,True
1755,Mama Bear,mama bear,unknown,True
1756,Baby Bear,baby bear,unknown,True
1757,Mother Goose,mother goose,unknown,True
1758,100 Flanderses,100 flanderses,unknown,True
1759,Jose Flanders,jose flanders,unknown,True
1760,Thistlewick Flanders,thistlewick flanders,unknown,True
1761,Lamb,lamb,unknown,True
1762,MS. HOOVER,ms hoover,unknown,True
1763,Worm,worm,unknown,True
1764,Child Voice,child voice,unknown,True
1765,Linda McCartney,linda mccartney,unknown,True
1766,Paul McCartney,paul mccartney,unknown,True
1767,Lard Lad,lard lad,unknown,True
1768,College Students,college students,unknown,True
1769,Store Owner,store owner,unknown,True
1770,Mr. Van Brunt,mr van brunt,unknown,True
1771,Paul Anka,paul anka,unknown,True
1772,Kindergarten Kids,kindergarten kids,unknown,True
1773,All Parents,all parents,unknown,True
1774,Homer's Mouth,homers mouth,unknown,True
1775,Muscular Guy,muscular guy,unknown,True
1776,Glamorous Woman,glamorous woman,unknown,True
1777,Rugged Man,rugged man,unknown,True
1778,Moviegoer,moviegoer,unknown,True
1779,Ice Cream Man,ice cream man,unknown,True
1780,Worker #3,worker 3,unknown,True
1781,Line Man,line man,unknown,True
1782,County Clerk,county clerk,unknown,True
1783,Grave-digger,grave-digger,unknown,True
1784,Howard Cosell,howard cosell,unknown,True
1785,Protestors,protestors,unknown,True
1786,Student Wiggum,student wiggum,unknown,True
1787,'Dennis Hopper',dennis hopper,unknown,True
1788,Postal Clerk,postal clerk,unknown,True
1789,Postal Clerk #2,postal clerk 2,unknown,True
1790,Van Driver,van driver,unknown,True
1791,Enraged Prisoner,enraged prisoner,unknown,True
1792,Teenage Girl,teenage girl,unknown,True
1793,Tv Audience,tv audience,unknown,True
1794,AIRMAN AT THE GATE,airman at the gate,unknown,True
1795,Very Normal Prisoner,very normal prisoner,unknown,True
1796,Another Prisoner,another prisoner,unknown,True
1797,Airman Tour Guide,airman tour guide,unknown,True
1798,M.P.,mp,unknown,True
1799,ENTIRE AUDIENCE,entire audience,unknown,True
1800,Loudspeaker,loudspeaker,unknown,True
1801,Airman At Gate,airman at gate,unknown,True
1802,Airman With Pistol,airman with pistol,unknown,True
1803,Airman In Tank,airman in tank,unknown,True
1804,'Matt Groening',matt groening,unknown,True
1805,Network Executive #1,network executive 1,unknown,True
1806,Network Executive #2,network executive 2,unknown,True
1807,Producer,producer,male,False
1808,Supervillain,supervillain,unknown,True
1809,Bont,bont,unknown,True
1810,Indian Woman,indian woman,unknown,True
1811,Bare-chested Man,bare-chested man,unknown,True
1812,Richard Simmons Robot,richard simmons robot,unknown,True
1813,Carolers,carolers,unknown,True
1814,Rich Suburban Mom,rich suburban mom,unknown,True
1815,SPOILED LITTLE BOY,spoiled little boy,unknown,True
1816,Gavin,gavin,unknown,True
1817,'Mario',mario,unknown,True
1818,'Mario' #2,mario 2,unknown,True
1819,'Donkey Kong',donkey kong,unknown,True
1820,Lee Carvallo,lee carvallo,unknown,True
1821,'Sonic the Hedgehog',sonic the hedgehog,unknown,True
1822,Answering Machine,answering machine,unknown,True
1823,Mangy Santa,mangy santa,unknown,True
1824,Quimby #2,quimby 2,unknown,True
1825,Quimbys,quimbys,unknown,True
1826,Bowling Clerk,bowling clerk,unknown,True
1827,Nurselady Doris,nurselady doris,unknown,True
1828,Sportscaster #2,sportscaster 2,unknown,True
1829,Guy In Crowd,guy in crowd,unknown,True
1830,GEORGE BUSH & FLANDERS,george bush flanders,unknown,True
1831,Teenage Kid,teenage kid,unknown,True
1832,HOMER AND BART,homer and bart,unknown,True
1833,Elks,elks,unknown,True
1834,GORBACHEV,gorbachev,unknown,True
1835,Gerald Ford,gerald ford,unknown,True
1836,Simpsons,simpsons,unknown,True
1837,Women,women,unknown,True
1838,Dorothy Parker-ish Socialite,dorothy parker-ish socialite,unknown,True
1839,Patricia,patricia,unknown,True
1840,Roberta,roberta,unknown,True
1841,Brittany Brockman,brittany brockman,unknown,True
